,playerID,stint,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
379,hubbeca01,16.0,253.0,154.0,535.0,431.0,260.0,36.0,33.0,3461.0,1188.0,227.0,725.0,1677.0,0.24812499999999998,2.97799647200817,0.0,53.0,53.0,1.0,14805.0,82.0,1380.0,0.0,0.0,0.0,3590.3333333333335
380,warnelo01,17.0,192.0,121.0,445.0,343.0,192.0,30.0,13.0,2726.0,984.0,175.0,739.0,1140.0,0.258125,3.182939978435366,0.0,50.0,27.0,1.0,11608.0,65.0,1164.0,0.0,0.0,0.0,2782.3333333333335
381,cardwdo01,18.0,102.0,138.0,410.0,301.0,72.0,17.0,7.0,2009.0,924.0,225.0,671.0,1211.0,0.251875,3.917713567839195,80.0,69.0,98.0,8.0,8949.0,44.0,1044.0,0.0,0.0,0.0,2122.666666666667
382,buehrma01,16.0,214.0,160.0,518.0,493.0,33.0,10.0,0.0,3472.0,1391.0,361.0,734.0,1870.0,0.2734375,3.812893401015229,49.0,27.0,79.0,16.0,13705.0,6.0,1542.0,108.0,91.0,24.0,3283.333333333333
383,roberda05,19.0,103.0,125.0,445.0,277.0,77.0,20.0,15.0,2188.0,882.0,155.0,615.0,957.0,0.27625,3.781800857551215,80.0,45.0,31.0,2.0,8930.0,69.0,979.0,0.0,0.0,0.0,2099.0
384,downssc01,19.0,38.0,40.0,619.0,50.0,1.0,1.0,27.0,729.0,297.0,67.0,279.0,575.0,0.26737500000000003,3.5576752440106483,34.0,26.0,28.0,2.0,3213.0,113.0,333.0,20.0,16.0,2.0,751.3333333333333
385,terryra01,18.0,107.0,99.0,338.0,257.0,75.0,20.0,11.0,1748.0,744.0,216.0,446.0,1000.0,0.2486666666666667,3.620764239365537,28.0,18.0,24.0,1.0,7598.0,37.0,844.0,0.0,0.0,0.0,1849.3333333333335
386,darliro01,18.0,136.0,116.0,382.0,364.0,37.0,13.0,0.0,2244.0,1016.0,239.0,906.0,1590.0,0.25266666666666665,3.8740290919361677,40.0,97.0,59.0,24.0,10032.0,5.0,1139.0,0.0,0.0,0.0,2360.333333333333
387,charlno01,17.0,51.0,54.0,605.0,37.0,1.0,1.0,97.0,798.0,371.0,70.0,409.0,808.0,0.22161538461538463,3.7127501853224616,27.0,77.0,32.0,9.0,3845.0,280.0,419.0,3.0,1.0,0.0,899.3333333333333
388,shortch02,15.0,135.0,132.0,501.0,308.0,88.0,24.0,18.0,2215.0,886.0,183.0,806.0,1629.0,0.258,3.4296774193548387,74.0,73.0,61.0,6.0,9801.0,78.0,991.0,0.0,0.0,0.0,2325.0
